gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Rnase2b	15.381695302033	-17.066053355273	1.82582777228874	3.31680527042239e-21	8.48272947910527e-17
Xcr1	149.500896432035	-2.18940193723738	0.364125052475262	3.29843511358535e-10	4.21787390149726e-06
Ephx1	11088.4480191887	0.996347741217863	0.174779960653395	2.06062820856287e-09	1.75668554779985e-05
Dglucy	1099.97738514667	1.08484912727996	0.194832488294113	3.44041025391027e-09	2.19971230609388e-05
Gbp10	110.992579967072	-2.87480927776632	0.61622808790115	3.94677423151232e-08	0.000201877501941855
Cyp26b1	1488.27455648971	3.48759422608621	1.3354672847603	2.6135046222323e-07	0.00111400634522652
Celf5	86.6425225750578	2.08619339383505	0.78854819261692	1.27695007818569e-06	0.00466542832137129
Gpr141b	117.630052480532	-1.60496252575364	0.610063954570129	1.61776150921477e-06	0.00517178132477098
Gdf15	331.854135006118	2.06767215965181	1.01559151484402	2.44110489347366e-06	0.00693680640562098
Trp53cor1	36.6186819763265	1.21957649859559	1.00646976192435	1.27499665270976e-05	0.0326080393930521
Wnt4	636.23369855857	0.334975366078365	0.313204116228281	1.7463192715392e-05	0.0406019230632864
Tm7sf3	2083.89900793209	0.113643835622818	0.0781652948985814	2.74755453973027e-05	0.0501919338240011
Dbp	1551.48731024652	0.662624182443565	1.45418972153434	2.60600987643041e-05	0.0501919338240011
Chrm3	173.285298355659	0.446329029209782	0.444345554358356	2.51675987231402e-05	0.0501919338240011
Lpar3	679.154191376743	0.200799410853727	0.255000249109775	5.06520291474891e-05	0.0863617096964689
Gm14403	360.37454626421	0.331480938210119	0.454484075815619	6.14855883119221e-05	0.0982808700673379
Gbp6	766.458854353838	-0.44471717319688	0.764369327088783	8.60348565068007e-05	0.129431850303613
Slc19a2	684.803414574951	0.203431851359486	0.32783749264558	0.000106719718184605	0.151630932920626
Gas6	13796.4398667377	0.12974883856835	0.190119729607088	0.000115382794426103	0.155311314076189
Exoc3l2	132.090586870456	0.229611847377225	0.415161170922701	0.000132712870295926	0.169706582890915
2900052L18Rik	524.291676531864	0.166141898805499	0.298887250279049	0.000156167456684521	0.190189652605078
C1qtnf4	25.2192319142197	0.287986758101907	0.673834794749958	0.000174314512796686	0.19386158620799
Rbm46	124.603761490545	0.202212109127159	0.404721286306621	0.000174342775475417	0.19386158620799
Cdh26	38.2395691537065	0.254178165391797	0.604206193568069	0.00019861350372651	0.211647514908562
Gm11868	4.22308802648501	-0.121778162237739	0.698620838758407	0.000217691454183372	0.214133036182298
